lat,lon,ele,time,segment_distance_km,distance_km_cum,segment_time_s,elev_delta_m,elev_gain_pos_m,elev_gain_pos_cum_m,slope_percent
7.060033706948161,-73.11927264556289,787.42,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.060046279802918,-73.11922788619995,786.9,,0.005137,0.005137,0.0,-0.52,0.0,0.0,-10.12
7.05845832824707,-73.11877727508545,785.33,,0.182533,0.18767,0.0,-1.57,0.0,0.0,-0.86
7.058415412902832,-73.11873435974121,784.77,,0.006709,0.194379,0.0,-0.56,0.0,0.0,-8.35
7.058415412902832,-73.11864852905273,784.38,,0.009483,0.203862,0.0,-0.39,0.0,0.0,-4.11
7.05845195800066,-73.1186241377145,784.09,,0.004858,0.208719,0.0,-0.29,0.0,0.0,-5.97
7.058479869738221,-73.1186056137085,783.82,,0.003704,0.212423,0.0,-0.27,0.0,0.0,-7.29
7.058737948536873,-73.11769776977599,783.26,,0.104282,0.316704,0.0,-0.56,0.0,0.0,-0.54
7.059165174141526,-73.11619623564184,790.4,,0.172488,0.489193,0.0,7.14,7.14,7.14,4.14
7.059187889099121,-73.11611652374268,794.03,,0.009158,0.498351,0.0,3.63,3.63,10.77,39.64
7.0592952612787485,-73.11622381210327,794.1,,0.016778,0.515129,0.0,0.07,0.07,10.84,0.42
7.0593382604420185,-73.11620939522982,794.16,,0.005015,0.520144,0.0,0.06,0.06,10.9,1.2
7.0592952612787485,-73.11622381210327,793.75,,0.005015,0.525159,0.0,-0.41,0.0,10.9,-8.18
7.05920934677124,-73.11630964279175,791.62,,0.013424,0.538583,0.0,-2.13,0.0,10.9,-15.87
7.0589518547058105,-73.11712503433228,789.47,,0.094479,0.633062,0.0,-2.15,0.0,10.9,-2.28
7.058608531951904,-73.11834812164307,786.73,,0.140361,0.773423,0.0,-2.74,0.0,10.9,-1.95
7.058608615770936,-73.11867007054389,785.52,,0.035569,0.808992,0.0,-1.21,0.0,10.9,-3.4
7.058758735656738,-73.11875581741333,784.76,,0.019115,0.828107,0.0,-0.76,0.0,10.9,-3.98
7.059699604287744,-73.11903451569378,786.01,,0.108512,0.936619,0.0,1.25,1.25,12.15,1.15
7.05970480106771,-73.11903610825539,786.02,,0.000601,0.93722,0.0,0.01,0.01,12.16,1.66
7.06049689091742,-73.11927080154419,790.96,,0.091355,1.028575,0.0,4.94,4.94,17.1,5.41
7.060647010803223,-73.11931371688843,791.85,,0.017266,1.045841,0.0,0.89,0.89,17.99,5.15
7.061312282457948,-73.11931371688843,792.31,,0.073573,1.119414,0.0,0.46,0.46,18.45,0.63
7.061505317687988,-73.11927080154419,792.38,,0.021868,1.141282,0.0,0.07,0.07,18.52,0.32
7.061612689867616,-73.1191635131836,792.35,,0.016778,1.15806,0.0,-0.03,0.0,18.52,-0.18
7.06158846616745,-73.11909109354019,792.35,,0.008438,1.166497,0.0,0.0,0.0,18.52,0.0
7.061140537261963,-73.11774730682373,793.14,,0.156509,1.323006,0.0,0.79,0.79,19.31,0.5
7.061033332720399,-73.11710357666016,793.0,,0.072101,1.395107,0.0,-0.14,0.0,19.31,-0.19
7.061033332720399,-73.11706066131592,792.77,,0.004741,1.399849,0.0,-0.23,0.0,19.31,-4.85
7.06101187504828,-73.11661005020142,792.02,,0.04984,1.449689,0.0,-0.75,0.0,19.31,-1.5
7.061029393225908,-73.11631266027689,791.76,,0.032913,1.482602,0.0,-0.26,0.0,19.31,-0.79
7.0611191634088755,-73.11480760574341,798.73,,0.166576,1.649178,0.0,6.97,6.97,26.28,4.18
7.061140621080995,-73.11450719833374,800.73,,0.033274,1.682452,0.0,2.0,2.0,28.28,6.01
7.061162078753114,-73.11403512954712,801.98,,0.052208,1.73466,0.0,1.25,1.25,29.53,2.39
7.061162078753114,-73.11399221420288,802.9,,0.004741,1.739402,0.0,0.92,0.92,30.45,19.4
7.0611990429461,-73.11319526284933,802.33,,0.088143,1.827544,0.0,-0.57,0.0,30.45,-0.65
7.061204994097352,-73.11306953430176,802.44,,0.013906,1.84145,0.0,0.11,0.11,30.56,0.79
7.0612693671137094,-73.11191082000732,805.41,,0.128213,1.969664,0.0,2.97,2.97,33.53,2.32
7.061290824785829,-73.11169624328613,807.76,,0.023825,1.993489,0.0,2.35,2.35,35.88,9.86
7.061354275792837,-73.11089124530554,809.58,,0.089213,2.082702,0.0,1.82,1.82,37.7,2.04
7.061419570818543,-73.11006546020508,811.0,,0.091519,2.174221,0.0,1.42,1.42,39.12,1.55
7.061526859179139,-73.10967922210693,811.98,,0.044291,2.218512,0.0,0.98,0.98,40.1,2.21
7.061677062883973,-73.10922861099243,812.59,,0.052482,2.270994,0.0,0.61,0.61,40.71,1.16
7.062038574367762,-73.10825723223388,813.0,,0.114524,2.385517,0.0,0.41,0.41,41.12,0.36
7.062427997589111,-73.10721158981323,818.52,,0.12329,2.508807,0.0,5.52,5.52,46.64,4.48
7.062394805252552,-73.10724469833076,819.66,,0.005182,2.513989,0.0,1.14,1.14,47.78,22.0
7.062428081408143,-73.10721158981323,818.47,,0.005189,2.519178,0.0,-1.19,0.0,47.78,-22.93
7.061676979064941,-73.10922861099243,814.79,,0.23782,2.756997,0.0,-3.68,0.0,47.78,-1.55
7.061526859179139,-73.10967922210693,810.98,,0.052479,2.809476,0.0,-3.81,0.0,47.78,-7.26
7.061419570818543,-73.11006546020508,809.05,,0.044291,2.853767,0.0,-1.93,0.0,47.78,-4.36
7.061290824785829,-73.11169624328613,807.31,,0.180732,3.034499,0.0,-1.74,0.0,47.78,-0.96
7.0612693671137094,-73.11191082000732,805.45,,0.023825,3.058324,0.0,-1.86,0.0,47.78,-7.81
7.061204994097352,-73.11306953430176,803.38,,0.128213,3.186537,0.0,-2.07,0.0,47.78,-1.61
7.061161994934082,-73.11399221420288,802.9,,0.102049,3.288587,0.0,-0.48,0.0,47.78,-0.47
7.061161994934082,-73.11403512954712,801.9,,0.004741,3.293328,0.0,-1.0,0.0,47.78,-21.09
7.061140621080995,-73.11450719833374,801.08,,0.052208,3.345536,0.0,-0.82,0.0,47.78,-1.57
7.061119079589844,-73.11480760574341,800.44,,0.033275,3.378811,0.0,-0.64,0.0,47.78,-1.92
